Timestamp,Gyro X,Gyro Y,Gyro Z,Acc X,Acc Y,Acc Z,Motor M2,Motor M3,Battery Level
56.098,-4.418511867523193,-5.014074325561523,-1.5308828353881836,-0.2002492994070053,0.051555849611759186,1.0016772747039795,,,
,,,,,,,32767.0,32767.0,90.0
56.108,-2.7614095211029053,-8.164705276489258,-3.444368600845337,-0.21169981360435486,0.04589247703552246,1.023343801498413,,,
,,,,,,,32767.0,32767.0,90.0
56.118,-2.258725881576538,-12.236611366271973,-6.2939605712890625,-0.21818263828754425,0.037188585847616196,0.998669445514679,,,
,,,,,,,32767.0,32767.0,90.0
56.128,4.01635217666626,-8.320181846618652,-5.6336870193481445,-0.22459687292575836,0.04941093176603317,0.9334642887115479,,,
,,,,,,,32767.0,32767.0,90.0
56.138,5.82750129699707,-2.050485610961914,1.1330866813659668,-0.2561911940574646,0.10919754207134247,0.9281607866287231,,,
,,,,,,,32767.0,32767.0,90.0
56.148,-7.651237487792969,-22.11151695251465,5.434305191040039,-0.24553614854812622,0.11025014519691467,0.9244879484176636,,,
,,,,,,,32767.0,32767.0,90.0
56.158,-6.907048225402832,9.567429542541504,5.290113925933838,-0.17359255254268646,0.06902860105037689,0.6712101697921753,,,
,,,,,,,32767.0,32767.0,90.0
56.168,7.071370601654053,24.660715103149414,-0.7101720571517944,-0.06550509482622147,0.0060326457023620605,0.9370448589324951,,,
,,,,,,,32767.0,32767.0,90.0
56.178,0.40873658657073975,-8.346473693847656,-4.853056907653809,-0.24336908757686615,-0.01436019316315651,1.334580898284912,,,
,,,,,,,32767.0,32767.0,90.0
56.188,3.0325677394866943,2.311713695526123,-4.878123760223389,-0.20636408030986786,0.013647722080349922,1.0438344478607178,,,
,,,,,,,32767.0,32767.0,90.0
56.198,3.497180700302124,-2.0569589138031006,0.6010029315948486,-0.10809606313705444,0.09222394227981567,0.9688698053359985,,,
,,,,,,,32767.0,32767.0,90.0
56.208,-7.8714799880981445,-12.558537483215332,5.510886192321777,-0.2602439820766449,0.11272990703582764,0.9905319213867188,,,
,,,,,,,32767.0,32767.0,90.0
56.218,0.03902504965662956,11.419657707214355,6.69544792175293,-0.21279357373714447,0.016578534618020058,0.8512905836105347,,,
,,,,,,,32767.0,32767.0,90.0
56.228,-0.25367194414138794,1.4195785522460938,0.6522026658058167,-0.11351566761732101,-0.03598359227180481,1.0867912769317627,,,
,,,,,,,32767.0,32767.0,90.0
56.238,1.1791588068008423,-8.80409049987793,-5.113787651062012,-0.21612118184566498,-0.021191701292991638,1.1024487018585205,,,
,,,,,,,32767.0,32767.0,90.0
56.248,7.4352335929870605,-1.5768299102783203,-6.227461338043213,-0.20410116016864777,0.01705527864396572,0.927980899810791,,,
,,,,,,,32767.0,32767.0,90.0
56.258,0.4239440858364105,-6.709655284881592,-3.256625175476074,-0.18391768634319305,0.08416981250047684,0.9379115700721741,,,
,,,,,,,32767.0,32767.0,90.0
